#Optimization obtained via Optimization of the distance to the set of unitaries
#
#Identifier DeltaT PurityOpt PurityStand PurityBase MutInfOpt MutInfStand MutInfBase 
#
4 0.010000 1.000000 1.000000 0.996972 1.386294 1.386293 1.374936 

17 0.010000 1.000000 1.000000 0.997344 1.386294 1.386294 1.376156 

11 0.010000 1.000000 1.000000 0.995545 1.386294 1.386294 1.370426 

16 0.010000 1.000000 1.000000 0.997067 1.386294 1.386294 1.375245 

18 0.010000 1.000000 1.000000 0.994573 1.386294 1.386294 1.367491 

2 0.010000 1.000000 1.000000 0.998543 1.386294 1.386294 1.380297 

3 0.010000 1.000000 1.000000 0.996971 1.386294 1.386294 1.374931 

13 0.010000 1.000000 1.000000 0.998634 1.386294 1.386294 1.380631 

14 0.010000 1.000000 1.000000 0.993657 1.386294 1.386294 1.364813 

1 0.010000 1.000000 1.000000 0.995615 1.386294 1.386294 1.370649 

8 0.010000 1.000000 1.000000 0.996851 1.386294 1.386294 1.374542 

12 0.010000 1.000000 1.000000 0.997483 1.386294 1.386294 1.376621 

6 0.010000 1.000000 1.000000 0.997071 1.386294 1.386294 1.375257 

5 0.010000 1.000000 1.000000 0.998801 1.386294 1.386294 1.381243 

10 0.010000 1.000000 1.000000 0.997743 1.386294 1.386294 1.377498 

7 0.010000 1.000000 1.000000 0.993681 1.386294 1.386294 1.364890 

15 0.010000 1.000000 1.000000 0.996364 1.386294 1.386294 1.372987 

9 0.010000 1.000000 1.000000 0.997722 1.386294 1.386294 1.377426 

19 0.010000 1.000000 1.000000 0.997723 1.386294 1.386294 1.377431 

20 0.010000 1.000000 1.000000 0.995938 1.386294 1.386294 1.371643 

34 0.010975 1.000000 1.000000 0.992108 1.386294 1.386294 1.360410 

38 0.010975 1.000000 1.000000 0.993112 1.386294 1.386294 1.363240 

33 0.010975 1.000000 1.000000 0.998506 1.386294 1.386294 1.380167 

37 0.010975 1.000000 1.000000 0.995935 1.386294 1.386294 1.371636 

24 0.010975 1.000000 1.000000 0.994374 1.386294 1.386293 1.366913 

31 0.010975 1.000000 1.000000 0.996369 1.386294 1.386294 1.372997 

35 0.010975 1.000000 1.000000 0.995538 1.386294 1.386294 1.370414 

21 0.010975 1.000000 1.000000 0.994665 1.386294 1.386294 1.367774 

25 0.010975 1.000000 1.000000 0.995721 1.386294 1.386294 1.370974 

32 0.010975 1.000000 1.000000 0.997290 1.386294 1.386294 1.375978 

28 0.010975 1.000000 1.000000 0.994313 1.386294 1.386294 1.366733 

26 0.010975 1.000000 1.000000 0.994299 1.386294 1.386294 1.366685 

29 0.010975 1.000000 1.000000 0.994350 1.386294 1.386294 1.366838 

27 0.010975 1.000000 1.000000 0.995304 1.386294 1.386293 1.369698 

36 0.010975 1.000000 1.000000 0.995645 1.386294 1.386294 1.370740 

30 0.010975 1.000000 1.000000 0.995927 1.386294 1.386294 1.371606 

22 0.010975 1.000000 1.000000 0.997103 1.386294 1.386294 1.375363 

23 0.010975 1.000000 1.000000 0.994699 1.386294 1.386294 1.367872 

39 0.010975 1.000000 1.000000 0.996188 1.386294 1.386294 1.372431 

40 0.010975 1.000000 1.000000 0.994227 1.386294 1.386294 1.366471 

45 0.012045 1.000000 1.000000 0.994255 1.386294 1.386294 1.366558 

48 0.012045 1.000000 1.000000 0.994460 1.386294 1.386293 1.367165 

47 0.012045 1.000000 1.000000 0.991257 1.386294 1.386293 1.358069 

52 0.012045 1.000000 1.000000 0.996423 1.386294 1.386294 1.373170 

46 0.012045 1.000000 1.000000 0.993944 1.386294 1.386294 1.365646 

50 0.012045 1.000000 1.000000 0.995682 1.386294 1.386294 1.370851 

43 0.012045 1.000000 1.000000 0.995488 1.386294 1.386294 1.370257 

56 0.012045 1.000000 1.000000 0.997136 1.386294 1.386293 1.375471 

58 0.012045 1.000000 1.000000 0.993117 1.386294 1.386294 1.363270 

54 0.012045 1.000000 1.000000 0.990920 1.386294 1.386294 1.357121 

55 0.012045 1.000000 1.000000 0.993954 1.386294 1.386294 1.365683 

57 0.012045 1.000000 1.000000 0.994972 1.386294 1.386294 1.368696 

53 0.012045 1.000000 1.000000 0.998201 1.386294 1.386294 1.379080 

44 0.012045 1.000000 1.000000 0.992839 1.386294 1.386294 1.362480 

51 0.012045 1.000000 1.000000 0.995653 1.386294 1.386294 1.370758 

49 0.012045 1.000000 1.000000 0.993932 1.386294 1.386294 1.365620 

42 0.012045 1.000000 1.000000 0.996688 1.386294 1.386294 1.374017 

41 0.012045 1.000000 1.000000 0.991841 1.386294 1.386294 1.359680 

60 0.012045 1.000000 1.000000 0.994331 1.386294 1.386294 1.366785 

59 0.012045 1.000000 1.000000 0.996239 1.386294 1.386294 1.372589 

75 0.013219 1.000000 1.000000 0.993263 1.386294 1.386294 1.363689 

65 0.013219 1.000000 1.000000 0.994555 1.386294 1.386294 1.367452 

77 0.013219 1.000000 1.000000 0.993645 1.386294 1.386294 1.364782 

72 0.013219 1.000000 1.000000 0.996733 1.386294 1.386294 1.374162 

67 0.013219 1.000000 1.000000 0.987225 1.386294 1.386294 1.347426 

62 0.013219 1.000000 1.000000 0.995898 1.386294 1.386294 1.371525 

66 0.013219 1.000000 1.000000 0.991386 1.386294 1.386294 1.358417 

