#Optimization obtained via Optimization of the distance to the set of unitaries
#
#Identifier DeltaT PurityOpt PurityStand MutInfOpt MutInfStand Purity1 Purity2 Purity3
#
1 0.001000 0.995218 0.995217 1.368087 1.367773 1.000000 1.000000 1.000000
2 0.001000 0.995218 0.995217 1.368089 1.367773 1.000000 1.000000 1.000000
3 0.001000 0.995218 0.995216 1.368085 1.367770 1.000000 1.000000 1.000000
4 0.001000 0.995218 0.995217 1.368083 1.367772 1.000000 1.000000 1.000000
5 0.001000 0.995218 0.995217 1.368088 1.367772 1.000000 1.000000 1.000000
6 0.001000 0.995218 0.995217 1.368086 1.367773 1.000000 1.000000 1.000000
7 0.001000 0.995217 0.995216 1.368083 1.367771 1.000000 1.000000 1.000000
8 0.001000 0.995218 0.995217 1.368088 1.367773 1.000000 1.000000 1.000000
9 0.001000 0.995217 0.995215 1.368083 1.367768 1.000000 1.000000 1.000000
10 0.001000 0.995218 0.995215 1.368087 1.367768 1.000000 1.000000 1.000000
11 0.001000 0.995218 0.995216 1.368088 1.367771 1.000000 1.000000 1.000000
12 0.001000 0.995218 0.995217 1.368086 1.367773 1.000000 1.000000 1.000000
13 0.001000 0.995218 0.995215 1.368085 1.367768 1.000000 1.000000 1.000000
14 0.001000 0.995218 0.995217 1.368087 1.367773 1.000000 1.000000 1.000000
15 0.001000 0.995218 0.995217 1.368087 1.367774 1.000000 1.000000 1.000000
16 0.001000 0.995218 0.995217 1.368088 1.367773 1.000000 1.000000 1.000000
17 0.001000 0.995218 0.995216 1.368088 1.367770 1.000000 1.000000 1.000000
18 0.001000 0.995218 0.995217 1.368089 1.367773 1.000000 1.000000 1.000000
19 0.001000 0.995217 0.995216 1.368086 1.367770 1.000000 1.000000 1.000000
20 0.001000 0.995218 0.995217 1.368089 1.367774 1.000000 1.000000 1.000000
21 0.001000 0.995218 0.995216 1.368088 1.367771 1.000000 1.000000 1.000000
22 0.001000 0.995219 0.995217 1.368090 1.367773 1.000000 1.000000 1.000000
23 0.001000 0.995218 0.995217 1.368088 1.367773 1.000000 1.000000 1.000000
24 0.001000 0.995218 0.995217 1.368084 1.367773 1.000000 1.000000 1.000000
25 0.001000 0.995218 0.995217 1.368088 1.367772 1.000000 1.000000 1.000000
26 0.001000 0.995218 0.995217 1.368089 1.367772 1.000000 1.000000 1.000000
27 0.001000 0.995218 0.995215 1.368089 1.367765 1.000000 1.000000 1.000000
28 0.001000 0.995218 0.995216 1.368086 1.367772 1.000000 1.000000 1.000000
29 0.001000 0.995218 0.995217 1.368088 1.367773 1.000000 1.000000 1.000000
30 0.001000 0.995217 0.995216 1.368085 1.367769 1.000000 1.000000 1.000000
31 0.001039 0.995030 0.995030 1.367464 1.367142 1.000000 1.000000 1.000000
32 0.001039 0.995031 0.995029 1.367468 1.367141 1.000000 1.000000 1.000000
33 0.001039 0.995031 0.995028 1.367468 1.367138 1.000000 1.000000 1.000000
34 0.001039 0.995031 0.995030 1.367472 1.367143 1.000000 1.000000 1.000000
35 0.001039 0.995032 0.995030 1.367471 1.367143 1.000000 1.000000 1.000000
36 0.001039 0.995031 0.995029 1.367468 1.367140 1.000000 1.000000 1.000000
37 0.001039 0.995031 0.995030 1.367470 1.367142 1.000000 1.000000 1.000000
38 0.001039 0.995031 0.995029 1.367469 1.367141 1.000000 1.000000 1.000000
39 0.001039 0.995031 0.995029 1.367471 1.367139 1.000000 1.000000 1.000000
40 0.001039 0.995031 0.995029 1.367471 1.367141 1.000000 1.000000 1.000000
41 0.001039 0.995031 0.995030 1.367470 1.367143 1.000000 1.000000 1.000000
42 0.001039 0.995031 0.995029 1.367469 1.367141 1.000000 1.000000 1.000000
43 0.001039 0.995030 0.995029 1.367463 1.367140 1.000000 1.000000 1.000000
44 0.001039 0.995031 0.995029 1.367467 1.367141 1.000000 1.000000 1.000000
45 0.001039 0.995031 0.995029 1.367469 1.367140 1.000000 1.000000 1.000000
46 0.001039 0.995031 0.995030 1.367468 1.367142 1.000000 1.000000 1.000000
47 0.001039 0.995031 0.995030 1.367470 1.367143 1.000000 1.000000 1.000000
48 0.001039 0.995031 0.995029 1.367469 1.367141 1.000000 1.000000 1.000000
49 0.001039 0.995031 0.995028 1.367469 1.367138 1.000000 1.000000 1.000000
50 0.001039 0.995032 0.995029 1.367472 1.367141 1.000000 1.000000 1.000000
51 0.001039 0.995032 0.995030 1.367472 1.367143 1.000000 1.000000 1.000000
52 0.001039 0.995030 0.995030 1.367466 1.367142 1.000000 1.000000 1.000000
53 0.001039 0.995031 0.995029 1.367470 1.367140 1.000000 1.000000 1.000000
54 0.001039 0.995030 0.995028 1.367467 1.367136 1.000000 1.000000 1.000000
55 0.001039 0.995032 0.995029 1.367472 1.367140 1.000000 1.000000 1.000000
56 0.001039 0.995031 0.995030 1.367466 1.367142 1.000000 1.000000 1.000000
57 0.001039 0.995030 0.995029 1.367465 1.367141 1.000000 1.000000 1.000000
58 0.001039 0.995031 0.995030 1.367471 1.367143 1.000000 1.000000 1.000000
59 0.001039 0.995031 0.995029 1.367469 1.367141 1.000000 1.000000 1.000000
60 0.001039 0.995031 0.995028 1.367471 1.367137 1.000000 1.000000 1.000000
61 0.001080 0.994837 0.994835 1.366832 1.366489 1.000000 1.000000 1.000000
62 0.001080 0.994837 0.994835 1.366832 1.366489 1.000000 1.000000 1.000000
63 0.001080 0.994837 0.994836 1.366832 1.366492 1.000000 1.000000 1.000000
64 0.001080 0.994836 0.994834 1.366828 1.366485 1.000000 1.000000 1.000000
65 0.001080 0.994836 0.994834 1.366828 1.366488 1.000000 1.000000 1.000000
66 0.001080 0.994836 0.994835 1.366831 1.366489 1.000000 1.000000 1.000000
67 0.001080 0.994837 0.994835 1.366832 1.366489 1.000000 1.000000 1.000000
68 0.001080 0.994837 0.994834 1.366832 1.366487 1.000000 1.000000 1.000000
69 0.001080 0.994837 0.994834 1.366833 1.366488 1.000000 1.000000 1.000000
