#Optimization obtained via Optimization of the largest Eigenvalue
#
#Identifier DeltaT PurityOpt PurityStand MutInfOpt MutInfStand Purity1 Purity2 Purity3
#
1 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
2 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
3 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
4 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
5 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
6 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
7 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
8 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
9 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
10 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
11 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
12 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
13 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
14 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
15 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
16 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
17 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
18 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
19 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
20 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
21 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
22 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
23 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
24 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
25 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
26 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
27 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
28 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
29 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
30 0.001000 0.995217 0.995217 1.367774 1.367774 1.000000 1.000000 1.000000
31 0.001039 0.995030 0.995030 1.367144 1.367144 1.000000 1.000000 1.000000
32 0.001039 0.995030 0.995030 1.367144 1.367144 1.000000 1.000000 1.000000
33 0.001039 0.995030 0.995030 1.367144 1.367144 1.000000 1.000000 1.000000
34 0.001039 0.995030 0.995030 1.367144 1.367144 1.000000 1.000000 1.000000
35 0.001039 0.995030 0.995030 1.367144 1.367144 1.000000 1.000000 1.000000
36 0.001039 0.995030 0.995030 1.367144 1.367144 1.000000 1.000000 1.000000
37 0.001039 0.995030 0.995030 1.367144 1.367144 1.000000 1.000000 1.000000
38 0.001039 0.995030 0.995030 1.367144 1.367144 1.000000 1.000000 1.000000
39 0.001039 0.995030 0.995030 1.367144 1.367144 1.000000 1.000000 1.000000
